Order ID,Order Date,CustomerName,State,City,Month,Year,Month Number
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,Apr,2018,4
B-25602,01-04-2018,Pearl,Maharashtra,Pune,Apr,2018,4
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,Apr,2018,4
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,Apr,2018,4
B-25605,05-04-2018,Kasheen,West Bengal,Kolkata,Apr,2018,4
B-25606,06-04-2018,Hazel,Karnataka,Bangalore,Apr,2018,4
B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir,Apr,2018,4
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,Apr,2018,4
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,Apr,2018,4
B-25610,09-04-2018,Yogesh,Bihar,Patna,Apr,2018,4
B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram,Apr,2018,4
B-25612,12-04-2018,Shrichand,Punjab,Chandigarh,Apr,2018,4
B-25613,12-04-2018,Mukesh,Haryana,Chandigarh,Apr,2018,4
B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla,Apr,2018,4
B-25615,15-04-2018,Bhavna,Sikkim,Gangtok,Apr,2018,4
B-25616,15-04-2018,Kanak,Goa,Goa,Apr,2018,4
B-25617,17-04-2018,Sagar,Nagaland,Kohima,Apr,2018,4
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad,Apr,2018,4
B-25619,18-04-2018,Ramesh,Gujarat,Ahmedabad,Apr,2018,4
B-25620,20-04-2018,Sarita,Maharashtra,Pune,Apr,2018,4
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal,Apr,2018,4
B-25622,22-04-2018,Monisha,Rajasthan,Jaipur,Apr,2018,4
B-25623,22-04-2018,Atharv,West Bengal,Kolkata,Apr,2018,4
B-25624,22-04-2018,Vini,Karnataka,Bangalore,Apr,2018,4
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir,Apr,2018,4
B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai,Apr,2018,4
B-25627,23-04-2018,Hitika,Madhya Pradesh,Indore,Apr,2018,4
B-25628,24-04-2018,Pooja,Bihar,Patna,Apr,2018,4
B-25629,24-04-2018,Hemant,Kerala ,Thiruvananthapuram,Apr,2018,4
B-25630,24-04-2018,Sahil,Punjab,Chandigarh,Apr,2018,4
B-25631,24-04-2018,Ritu,Haryana,Chandigarh,Apr,2018,4
B-25632,25-04-2018,Manish,Himachal Pradesh,Simla,Apr,2018,4
B-25633,26-04-2018,Amit,Sikkim,Gangtok,Apr,2018,4
B-25634,26-04-2018,Sanjay,Goa,Goa,Apr,2018,4
B-25635,26-04-2018,Nidhi,Nagaland,Kohima,Apr,2018,4
B-25636,26-04-2018,Nishi,Maharashtra,Mumbai,Apr,2018,4
